datetime,open,high,low,close,volume,open_interest
2021-6-15,2625,2670,2606,2637,746067,349005
2021-6-16,2655,2718,2642,2700,1201631,431675
2021-6-17,2700,2702,2654,2687,1040078,395302
2021-6-18,2673,2725,2609,2619,1241374,352293
2021-6-21,2615,2692,2607,2651,1029963,358157
2021-6-22,2641,2711,2620,2707,1084162,391356
2021-6-23,2692,2738,2680,2731,1069078,430967
2021-6-24,2744,2751,2700,2736,1007665,414810
2021-6-25,2703,2767,2694,2717,1247385,392798
2021-6-28,2730,2777,2684,2733,1341579,371805
2021-6-29,2737,2745,2661,2669,1072981,336692
2021-6-30,2695,2709,2650,2659,942441,313293
2021-7-1,2680,2692,2642,2646,1128015,295551
2021-7-2,2700,2735,2685,2719,1207877,275689
2021-7-5,2740,2742,2689,2734,998580,307287
2021-7-6,2730,2761,2681,2737,1099012,302722
2021-7-7,2706,2709,2553,2582,1893396,308550
2021-7-8,2583,2595,2524,2539,1305569,314304
2021-7-9,2545,2594,2536,2581,1077030,281777
2021-7-12,2600,2652,2594,2634,1016620,259784
2021-7-13,2620,2659,2613,2643,854852,244738
2021-7-14,2632,2680,2618,2679,997295,237204
2021-7-15,2688,2695,2562,2584,1230182,236849
2021-7-16,2578,2587,2545,2555,937076,261935
2021-7-19,2571,2576,2489,2546,1246237,277265
2021-7-20,2490,2512,2418,2450,1403202,306150
2021-7-21,2409,2450,2405,2445,1017589,294232
2021-7-22,2480,2530,2463,2524,1069922,255094
2021-7-23,2524,2580,2521,2578,940708,227488
2021-7-26,2582,2615,2573,2578,969035,214827
2021-7-27,2595,2621,2580,2600,847253,209795
2021-7-28,2605,2639,2594,2628,806645,212068
2021-7-29,2635,2636,2603,2629,715751,190652
2021-7-30,2631,2649,2612,2627,872470,171461
2021-8-2,2642,2655,2578,2616,792695,155845
2021-8-3,2618,2632,2541,2548,792238,158042
2021-8-4,2511,2553,2500,2546,739745,152512
2021-8-5,2505,2530,2478,2489,943428,159673
2021-8-6,2505,2566,2494,2556,646245,129446
2021-8-9,2537,2557,2440,2464,417735,189874
2021-8-10,2438,2487,2433,2479,378972,193921
2021-8-11,2473,2527,2471,2525,429313,202013
2021-8-12,2500,2538,2474,2520,564621,198303
2021-8-13,2520,2528,2492,2512,599956,212645
2021-8-16,2519,2542,2446,2457,829521,263322
2021-8-17,2432,2463,2413,2428,909678,312480
2021-8-18,2431,2455,2418,2446,903726,299145
2021-8-19,2452,2457,2361,2374,1061014,319560
2021-8-20,2351,2376,2331,2360,1082740,321848
2021-8-23,2322,2371,2316,2362,1026575,319632
2021-8-24,2384,2461,2376,2460,1175967,304734
2021-8-25,2474,2508,2467,2497,1005296,285808
2021-8-26,2511,2538,2487,2520,1014827,289825
2021-8-27,2522,2569,2509,2564,1133466,309101
2021-8-30,2571,2582,2550,2558,1005601,304759
2021-8-31,2572,2581,2545,2567,882890,321898
2021-9-1,2555,2588,2527,2575,1023280,326851
2021-9-2,2567,2567,2512,2556,1200580,300650
2021-9-3,2572,2637,2572,2619,1102355,329165
2021-9-6,2630,2636,2557,2570,982876,316706
2021-9-7,2590,2625,2587,2616,795404,319457
2021-9-8,2585,2622,2564,2620,1051244,331823
2021-9-9,2639,2658,2605,2641,1009597,332578
2021-9-10,2620,2620,2558,2595,1316324,296557
2021-9-13,2625,2716,2624,2705,1234465,363759
2021-9-14,2710,2744,2683,2725,1047033,375610
2021-9-15,2733,2743,2709,2730,911468,364133
2021-9-16,2761,2811,2745,2758,1299880,342384
2021-9-17,2745,2806,2735,2767,1124506,342317
2021-9-22,2746,2838,2735,2836,950828,423858
2021-9-23,2839,2942,2816,2916,1510761,466230
